slice_id,dataset,scene_id,split
SSDD_00001,SSDD,scene_01,train
SSDD_00002,SSDD,scene_01,train
SSDD_00003,SSDD,scene_01,train
SSDD_00004,SSDD,scene_01,train
SSDD_00005,SSDD,scene_01,train
SSDD_00006,SSDD,scene_01,train
SSDD_00007,SSDD,scene_01,train
SSDD_00008,SSDD,scene_01,train
SSDD_00009,SSDD,scene_01,train
SSDD_00010,SSDD,scene_01,train
SSDD_00011,SSDD,scene_01,train
SSDD_00012,SSDD,scene_01,train
SSDD_00013,SSDD,scene_01,train
SSDD_00014,SSDD,scene_01,train
SSDD_00015,SSDD,scene_01,train
SSDD_00016,SSDD,scene_01,train
SSDD_00017,SSDD,scene_01,train
SSDD_00018,SSDD,scene_01,train
SSDD_00019,SSDD,scene_01,train
SSDD_00020,SSDD,scene_01,train
SSDD_00021,SSDD,scene_01,train
SSDD_00022,SSDD,scene_01,train
SSDD_00023,SSDD,scene_01,train
SSDD_00024,SSDD,scene_01,train
SSDD_00025,SSDD,scene_01,train
SSDD_00026,SSDD,scene_01,train
SSDD_00027,SSDD,scene_01,train
SSDD_00028,SSDD,scene_01,train
SSDD_00029,SSDD,scene_01,train
SSDD_00030,SSDD,scene_01,train
SSDD_00031,SSDD,scene_01,train
SSDD_00032,SSDD,scene_01,train
SSDD_00033,SSDD,scene_01,train
SSDD_00034,SSDD,scene_01,train
SSDD_00035,SSDD,scene_01,train
SSDD_00036,SSDD,scene_01,train
SSDD_00037,SSDD,scene_01,train
SSDD_00038,SSDD,scene_01,train
SSDD_00039,SSDD,scene_01,train
SSDD_00040,SSDD,scene_01,train
SSDD_00041,SSDD,scene_01,train
SSDD_00042,SSDD,scene_01,train
SSDD_00043,SSDD,scene_01,train
SSDD_00044,SSDD,scene_01,train
SSDD_00045,SSDD,scene_01,train
SSDD_00046,SSDD,scene_01,train
SSDD_00047,SSDD,scene_01,train
SSDD_00048,SSDD,scene_01,train
SSDD_00049,SSDD,scene_01,train
SSDD_00050,SSDD,scene_01,train
SSDD_00051,SSDD,scene_01,train
SSDD_00052,SSDD,scene_01,train
SSDD_00053,SSDD,scene_01,train
SSDD_00054,SSDD,scene_01,train
SSDD_00055,SSDD,scene_01,train
SSDD_00056,SSDD,scene_01,train
SSDD_00057,SSDD,scene_01,train
SSDD_00058,SSDD,scene_01,train
SSDD_00059,SSDD,scene_01,train
SSDD_00060,SSDD,scene_01,train
SSDD_00061,SSDD,scene_01,train
SSDD_00062,SSDD,scene_01,train
SSDD_00063,SSDD,scene_01,train
SSDD_00064,SSDD,scene_01,train
SSDD_00065,SSDD,scene_01,train
SSDD_00066,SSDD,scene_01,train
SSDD_00067,SSDD,scene_01,train
SSDD_00068,SSDD,scene_01,train
SSDD_00069,SSDD,scene_01,train
SSDD_00070,SSDD,scene_01,train
SSDD_00071,SSDD,scene_01,train
SSDD_00072,SSDD,scene_01,train
SSDD_00073,SSDD,scene_01,train
SSDD_00074,SSDD,scene_01,train
SSDD_00075,SSDD,scene_01,train
SSDD_00076,SSDD,scene_01,train
SSDD_00077,SSDD,scene_01,train
SSDD_00078,SSDD,scene_01,train
SSDD_00079,SSDD,scene_01,train
SSDD_00080,SSDD,scene_01,train
SSDD_00081,SSDD,scene_01,train
SSDD_00082,SSDD,scene_01,train
SSDD_00083,SSDD,scene_01,train
SSDD_00084,SSDD,scene_01,train
SSDD_00085,SSDD,scene_01,train
SSDD_00086,SSDD,scene_01,train
SSDD_00087,SSDD,scene_01,train
SSDD_00088,SSDD,scene_01,train
SSDD_00089,SSDD,scene_01,train
SSDD_00090,SSDD,scene_01,train
SSDD_00091,SSDD,scene_01,train
SSDD_00092,SSDD,scene_01,train
SSDD_00093,SSDD,scene_01,train
SSDD_00094,SSDD,scene_01,train
SSDD_00095,SSDD,scene_01,train
SSDD_00096,SSDD,scene_01,train
SSDD_00097,SSDD,scene_01,train
SSDD_00098,SSDD,scene_01,train
SSDD_00099,SSDD,scene_01,train
SSDD_00100,SSDD,scene_01,train
SSDD_00101,SSDD,scene_01,train
SSDD_00102,SSDD,scene_01,train
SSDD_00103,SSDD,scene_01,train
SSDD_00104,SSDD,scene_01,train
SSDD_00105,SSDD,scene_01,train
SSDD_00106,SSDD,scene_01,train
SSDD_00107,SSDD,scene_02,train
SSDD_00108,SSDD,scene_02,train
SSDD_00109,SSDD,scene_02,train
SSDD_00110,SSDD,scene_02,train
SSDD_00111,SSDD,scene_02,train
SSDD_00112,SSDD,scene_02,train
SSDD_00113,SSDD,scene_02,train
SSDD_00114,SSDD,scene_02,train
SSDD_00115,SSDD,scene_02,train
SSDD_00116,SSDD,scene_02,train
SSDD_00117,SSDD,scene_02,train
SSDD_00118,SSDD,scene_02,train
SSDD_00119,SSDD,scene_02,train
SSDD_00120,SSDD,scene_02,train
SSDD_00121,SSDD,scene_02,train
SSDD_00122,SSDD,scene_02,train
SSDD_00123,SSDD,scene_02,train
SSDD_00124,SSDD,scene_02,train
SSDD_00125,SSDD,scene_02,train
SSDD_00126,SSDD,scene_02,train
SSDD_00127,SSDD,scene_02,train
SSDD_00128,SSDD,scene_02,train
SSDD_00129,SSDD,scene_02,train
SSDD_00130,SSDD,scene_02,train
SSDD_00131,SSDD,scene_02,train
SSDD_00132,SSDD,scene_02,train
SSDD_00133,SSDD,scene_02,train
SSDD_00134,SSDD,scene_02,train
SSDD_00135,SSDD,scene_02,train
SSDD_00136,SSDD,scene_02,train
SSDD_00137,SSDD,scene_02,train
SSDD_00138,SSDD,scene_02,train
SSDD_00139,SSDD,scene_02,train
SSDD_00140,SSDD,scene_02,train
SSDD_00141,SSDD,scene_02,train
SSDD_00142,SSDD,scene_02,train
SSDD_00143,SSDD,scene_02,train
SSDD_00144,SSDD,scene_02,train
SSDD_00145,SSDD,scene_02,train
SSDD_00146,SSDD,scene_02,train
SSDD_00147,SSDD,scene_02,train
SSDD_00148,SSDD,scene_02,train
SSDD_00149,SSDD,scene_02,train
SSDD_00150,SSDD,scene_02,train
SSDD_00151,SSDD,scene_02,train
SSDD_00152,SSDD,scene_02,train
SSDD_00153,SSDD,scene_02,train
SSDD_00154,SSDD,scene_02,train
SSDD_00155,SSDD,scene_02,train
SSDD_00156,SSDD,scene_02,train
SSDD_00157,SSDD,scene_02,train
SSDD_00158,SSDD,scene_02,train
SSDD_00159,SSDD,scene_02,train
SSDD_00160,SSDD,scene_02,train
SSDD_00161,SSDD,scene_02,train
SSDD_00162,SSDD,scene_02,train
SSDD_00163,SSDD,scene_02,train
SSDD_00164,SSDD,scene_02,train
SSDD_00165,SSDD,scene_02,train
SSDD_00166,SSDD,scene_02,train
SSDD_00167,SSDD,scene_02,train
SSDD_00168,SSDD,scene_02,train
SSDD_00169,SSDD,scene_02,train
SSDD_00170,SSDD,scene_02,train
SSDD_00171,SSDD,scene_02,train
SSDD_00172,SSDD,scene_02,train
SSDD_00173,SSDD,scene_02,train
